No.,正誤,分野名,大分類,中分類,出典,学習日
40,○,テクノロジ系,技術要素,セキュリティ,平成22年春期 問40,2021/8/31
41,○,テクノロジ系,技術要素,セキュリティ,平成22年春期 問41,2021/8/31
42,×,テクノロジ系,技術要素,セキュリティ,平成22年春期 問42,2021/8/31
43,○,テクノロジ系,技術要素,セキュリティ,平成22年春期 問43,2021/8/31
44,○,テクノロジ系,技術要素,セキュリティ,平成22年春期 問44,2021/8/31
45,×,テクノロジ系,開発技術,システム開発技術,平成22年春期 問45,2021/8/31
46,○,テクノロジ系,開発技術,システム開発技術,平成22年春期 問46,2021/8/31
47,×,テクノロジ系,開発技術,システム開発技術,平成22年春期 問47,2021/8/31
48,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,平成22年春期 問48,2021/8/31
49,×,テクノロジ系,開発技術,ソフトウェア開発管理技術,平成22年春期 問49,2021/8/31
50,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,平成22年春期 問50,2021/8/31
51,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成22年春期 問51,2021/8/31
52,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,平成22年春期 問52,2021/8/31
53,○,マネジメント系,サービスマネジメント,サービスマネジメント,平成22年春期 問53,2021/8/31
54,○,マネジメント系,サービスマネジメント,サービスマネジメント,平成22年春期 問54,2021/8/31
55,○,マネジメント系,サービスマネジメント,サービスマネジメント,平成22年春期 問55,2021/8/31
56,○,マネジメント系,サービスマネジメント,サービスマネジメント,平成22年春期 問56,2021/8/31
57,×,マネジメント系,サービスマネジメント,システム監査,平成22年春期 問57,2021/8/31
58,×,マネジメント系,サービスマネジメント,システム監査,平成22年春期 問58,2021/8/31
59,○,マネジメント系,サービスマネジメント,システム監査,平成22年春期 問59,2021/8/31
60,○,マネジメント系,サービスマネジメント,システム監査,平成22年春期 問60,2021/8/31
61,○,ストラテジ系,システム戦略,システム戦略,平成22年春期 問61,2021/8/31
62,×,ストラテジ系,システム戦略,システム戦略,平成22年春期 問62,2021/8/31
63,○,ストラテジ系,企業と法務,企業活動,平成22年春期 問63,2021/8/31
64,○,ストラテジ系,システム戦略,システム戦略,平成22年春期 問64,2021/8/31
65,○,ストラテジ系,システム戦略,システム戦略,平成22年春期 問65,2021/8/31
66,×,ストラテジ系,システム戦略,システム企画,平成22年春期 問66,2021/8/31
67,×,ストラテジ系,システム戦略,システム企画,平成22年春期 問67,2021/8/31
68,×,ストラテジ系,経営戦略,経営戦略マネジメント,平成22年春期 問68,2021/8/31
69,○,ストラテジ系,経営戦略,経営戦略マネジメント,平成22年春期 問69,2021/8/31
70,×,ストラテジ系,経営戦略,経営戦略マネジメント,平成22年春期 問70,2021/8/31
71,○,ストラテジ系,経営戦略,経営戦略マネジメント,平成22年春期 問71,2021/8/31
72,×,ストラテジ系,経営戦略,ビジネスインダストリ,平成22年春期 問72,2021/8/31
73,×,ストラテジ系,経営戦略,ビジネスインダストリ,平成22年春期 問73,2021/8/31
74,×,ストラテジ系,経営戦略,ビジネスインダストリ,平成22年春期 問74,2021/8/31
75,×,ストラテジ系,企業と法務,企業活動,平成22年春期 問75,2021/8/31
76,×,ストラテジ系,企業と法務,企業活動,平成22年春期 問76,2021/8/31
77,×,ストラテジ系,企業と法務,企業活動,平成22年春期 問77,2021/8/31
78,×,ストラテジ系,企業と法務,法務,平成22年春期 問78,2021/8/31
79,×,ストラテジ系,企業と法務,法務,平成22年春期 問79,2021/8/31
80,×,ストラテジ系,企業と法務,法務,平成22年春期 問80,2021/8/31
 ,,,,,,
